dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_CODER,C_NOMENCLATURE,ISCALCULATED
OBJ5156289,27862169,Total,,,Var 502,,
OBJ5156289,27862179,0-4,,,Var 502,,
OBJ5156289,27862189,5-9,,,Var 502,,
OBJ5156289,27862199,10-14,,,Var 502,,
OBJ5156289,27862209,15-19,,,Var 502,,
OBJ5156289,27862219,20-24,,,Var 502,,
OBJ5156289,27862229,25-29,,,Var 502,,
OBJ5156289,27862239,30-34,,,Var 502,,
OBJ5156289,27862249,35-39,,,Var 502,,
OBJ5156289,27862259,40-44,,,Var 502,,
OBJ5156289,27862269,45-49,,,Var 502,,
OBJ5156289,27862279,50-54,,,Var 502,,
OBJ5156289,27862289,55-59,,,Var 502,,
OBJ5156289,27862299,60-64,,,Var 502,,
OBJ5156289,27862309,65-69,,,Var 502,,
OBJ5156289,27862319,70-74,,,Var 502,,
OBJ5156289,27862329,75-79,,,Var 502,,
OBJ5156289,27862339,80 ans et plus,,,Var 502,,
